,mb_t01,mb_t02,mb_t03,mb_t04,mb_t05,mb_t06,mb_t07,mb_t08,mb_t09,mb_t10,mb_t11,mb_t12,mp_t01,mp_t02,mp_t03,mp_t04,mp_t05,mp_t06,mp_t07,mp_t08,mp_t09,mp_t10,mp_t11,mp_t12,
S01,3:58,3:33,3:12,3:38,3:40,3:26,2:59,1:52,3:24,3:20,2:38,1:00,3:56,2:44,2:50,3:23,3:49,3:50,3:29,3:47,3:26,3:45,2:40,3:07,
S02,3:45,3:37,3:16,3:05,3:53,3:25,3:32,3:09,3:29,3:02,2:50,1:50,3:50,3:14,3:27,3:20,3:40,3:54,3:13,2:01,3:35,0:22,2:54,3:01,
S03,3:55,2:50,2:17,3:11,3:27,1:40,3:29,3:25,3:16,3:11,1:39,0:20,3:50,2:47,3:16,3:10,3:25,3:31,3:27,3:30,3:48,3:00,2:07,0:04,
S04,0:42,3:20,1:00,2:24,2:24,0:54,0:00,0:29,2:32,1:12,0:00,1:35,3:50,1:50,0:00,3:39,3:48,3:42,3:22,3:36,3:40,3:41,3:16,2:55,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
